지역합,POS코드,판매점명,주소,총실적,거래점1,실적1,거래점2,실적2,위도,경도
부산 동래구,P968286,휴대폰성지_사직점,부산 동래구 사직북로33번길 49,3,메타,3,,0,35.19860609,129.0576138
경북 포항시,P968762,한빛커뮤니케이션_포항,경북 포항시 북구 새마을로15번길 14,3,뉴에이스,3,,0,36.03708963,129.3586405
대구 달서구,P977949,휴대폰파는 총각 죽전점,대구 달서구 와룡로 145,3,수인,3,,0,35.84593552,128.5365977
경남 밀양시,P987544,(셀)휴대폰성지_밀양점,경남 밀양시 중앙로 272,3,유모스트,1,수석_경상,2,35.48748595,128.7554247
경남 김해시,P032176,스피드,경남 김해시 활천로 23,2,에스엠,2,,0,35.22975899,128.8935875
경북 안동시,P042905,한빛텔레콤,경북 안동시 문화광장길 16-5,2,뉴에이스,2,,0,36.56391859,128.7305002
대구 중구,P046249,파발마정보통신,대구 중구 동성로1길 51,2,뉴에이스,2,,0,35.86591566,128.5962674
경남 창원시,P047740,마산스피드통신,경남 창원시 마산회원구 북성로 129,2,에스엠,1,태성,1,35.218869,128.570546
부산 동래구,P077175,더블유컴퍼니,부산 동래구 온천장로125번길 43,2,에스엠,2,,0,35.22322554,129.0832388
울산 북구,P082215,씨케이모바일(CK),울산 북구 신천로 103-1,2,태성,2,,0,35.64693532,129.3520811
경남 양산시,P113221,SS모바일,경남 양산시 상북면 상북중앙로 368,2,에스엠,2,,0,35.41609866,129.0616727
부산 기장군,P118338,재이통신,부산 기장군 기장읍 읍내로 100,2,도매직영,2,,0,35.244897,129.2152027
울산 울주군,P121539,후니모바일,울산 울주군 언양읍 헌양길 167,2,유모스트,2,,0,35.5669476,129.1172481
부산 사상구,P131902,감전TK텔레콤,부산 사상구 괘감로 102-1,2,유모스트,1,태성,1,35.15697076,128.9856085
대구 서구,P137170,우리정보통신,대구 서구 서대구로62길 99,2,뉴에이스,2,,0,35.88903504,128.5652266
부산 남구,P137185,좋은생각,부산 남구 전포대로67번길 26,2,도매직영,2,,0,35.14285611,129.0652237
대구 동구,P144621,런정보통신,대구 동구 동호로 69,2,에스엠,2,,0,35.86617646,128.7244684
경남 양산시,P154592,늑대와여우 컴퓨터 웅상점(신세계통신),경남 양산시 소주회야로 77,2,에스엠,2,,0,35.40992237,129.1604362
경북 경주시,P169412,하하통신,경북 경주시 북정로 26,2,뉴에이스,2,,0,35.84320592,129.2153914
대구 중구,P170893,알파통신,대구 중구 명덕로 55,2,뉴에이스,2,,0,35.85912636,128.5770828
경북 김천시,P171813,폰이조아,경북 김천시 자산로 157,2,도매직영,2,,0,36.12432647,128.1177742
울산 동구,P172129,조은텔레콤,울산 동구 대송1길 27,2,메타,2,,0,35.49971237,129.4196741
경북 경산시,P172275,미래정보통신,경북 경산시 경산로 157,2,에스엠,2,,0,35.82229479,128.7273535
대구 수성구,P172618,씨피범물,대구 수성구 범안로 62,2,에스엠,2,,0,35.81770088,128.6446339
대구 북구,P172651,은하통신,대구 북구 팔달로 139,2,뉴에이스,2,,0,35.88951943,128.5653567
부산 사하구,P172949,한울텔레콤,부산 사하구 낙동대로516번길 48,2,유모스트,2,,0,35.11290306,128.9661618
울산 울주군,P173102,현영텔레콤(분점),울산 울주군 범서읍 구영로 138,2,유모스트,2,,0,35.57051537,129.2429206
부산 수영구,P173808,수영그린통신,부산 수영구 수영로 709-1,2,도매직영,2,,0,35.16821827,129.1170273
대구 수성구,P177334,늘푸른통신 만촌,대구 수성구 동원로 135,2,뉴에이스,2,,0,35.8691799,128.633469
경남 김해시,P178551,휴대폰성지_폰그램김해점,경남 김해시 전하로304번길 19,2,에스엠,2,,0,35.23108715,128.8712211
울산 중구,P192279,병영휴대폰성지,울산 중구 평산로 36,2,메타,2,,0,35.5698992,129.3384487
경북 포항시,P195246,파워통신,경북 포항시 남구 연일읍 철강로25번길 54,2,도매직영,2,,0,35.9964925,129.3461757
부산 수영구,P196404,건일정보통신,부산 수영구 수영로 567,2,도매직영,2,,0,35.15651744,129.112647
울산 남구,P210701,블루1호점,울산 남구 신복로 18,2,유모스트,2,,0,35.54815355,129.2603438
경남 창원시,P217972,서아,경남 창원시 마산합포구 자산삼거리로 7,2,에스엠,2,,0,35.20235768,128.5668308
대구 달서구,P217983,휴대폰성지 옆커폰대구용산점,대구 달서구 성지로 90,2,태성,2,,0,35.85724586,128.5213292
대구 동구,P228187,동서통신,대구 동구 아양로39길 21,2,태성,2,,0,35.88770765,128.6337394
경남 창원시,P231665,미르,경남 창원시 의창구 사림로130번길 2,2,유모스트,2,,0,35.25192575,128.6675724
부산 동래구,P234384,옆커폰 온천장점,부산 동래구 온천장로125번길 69,2,태성,2,,0,35.2240069,129.0821877
대구 달성군,P236233,팡팡논공,대구 달성군 논공읍 논공로23길 14,2,유모스트,1,마라톤,1,35.73063076,128.445753
경북 경산시,P236815,영재통신,경북 경산시 백자로10길 3-17,2,도매직영,2,,0,35.81180281,128.7551502
울산 울주군,P237578,카카오텔레콤,울산 울주군 삼남면 교동로 152,2,도매직영,2,,0,35.56342059,129.1170032
부산 남구,P239021,스마트통신,부산 남구 진남로 17-26,2,유안,2,,0,35.13681402,129.0905236
